id,model_name,hyperparameters,train_loss,val_loss,metrics,timestamp
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep1,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",12.679942,12.221061,"{""accuracy"": 0.1111, ""f1"": 0.0836, ""bleu"": 0.0221, ""epoch"": 1}",2026-03-08T21:58:57.409825+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep2,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",11.869299,11.70249,"{""accuracy"": 0.2678, ""f1"": 0.2294, ""bleu"": 0.0538, ""epoch"": 2}",2026-03-08T22:04:21.854243+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep3,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",11.361829,11.414807,"{""accuracy"": 0.3272, ""f1"": 0.3129, ""bleu"": 0.0667, ""epoch"": 3}",2026-03-08T22:09:46.671221+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep4,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",10.875433,11.220356,"{""accuracy"": 0.3617, ""f1"": 0.3441, ""bleu"": 0.0737, ""epoch"": 4}",2026-03-08T22:20:39.911352+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep5,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",10.334375,11.098193,"{""accuracy"": 0.3536, ""f1"": 0.3493, ""bleu"": 0.0749, ""epoch"": 5}",2026-03-08T22:31:29.167480+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep6,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",10.090976,11.012525,"{""accuracy"": 0.3825, ""f1"": 0.3772, ""bleu"": 0.0788, ""epoch"": 6}",2026-03-08T22:42:20.518921+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep7,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",9.753321,10.987764,"{""accuracy"": 0.3753, ""f1"": 0.3761, ""bleu"": 0.0785, ""epoch"": 7}",2026-03-08T22:53:06.876112+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep8,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",9.398216,10.963375,"{""accuracy"": 0.3905, ""f1"": 0.3892, ""bleu"": 0.0812, ""epoch"": 8}",2026-03-08T23:04:00.653259+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep9,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",9.220542,10.958626,"{""accuracy"": 0.3873, ""f1"": 0.3844, ""bleu"": 0.0807, ""epoch"": 9}",2026-03-08T23:14:46.350396+00:00
b0b04c2c-0918-4ddd-90d9-5ed9695b43a8_ep10,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 5e-05, ""batch_size"": 8, ""epochs"": 10, ""gradient_accumulation_steps"": 4, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 3, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",9.123072,10.956438,"{""accuracy"": 0.3929, ""f1"": 0.3895, ""bleu"": 0.0814, ""epoch"": 10}",2026-03-08T23:25:38.746390+00:00
