id,model_name,hyperparameters,train_loss,val_loss,metrics,timestamp
d3227313-376d-423f-ab33-4e60967b1d84_ep1,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",10.405274,10.194552,"{""accuracy"": 0.0794, ""f1"": 0.0616, ""bleu"": 0.0159, ""epoch"": 1}",2026-03-10T02:02:32.943324+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep2,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",9.738129,9.732599,"{""accuracy"": 0.2073, ""f1"": 0.1743, ""bleu"": 0.0436, ""epoch"": 2}",2026-03-10T02:08:29.986258+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep3,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",9.337382,9.434119,"{""accuracy"": 0.2935, ""f1"": 0.273, ""bleu"": 0.0589, ""epoch"": 3}",2026-03-10T02:14:28.470549+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep4,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",8.875979,9.216045,"{""accuracy"": 0.3232, ""f1"": 0.3072, ""bleu"": 0.0658, ""epoch"": 4}",2026-03-10T02:20:23.551539+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep5,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",8.37425,9.097191,"{""accuracy"": 0.3304, ""f1"": 0.3203, ""bleu"": 0.0683, ""epoch"": 5}",2026-03-10T02:26:16.771070+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep6,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",8.201723,8.979881,"{""accuracy"": 0.3645, ""f1"": 0.3518, ""bleu"": 0.0748, ""epoch"": 6}",2026-03-10T02:36:21.553209+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep7,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",7.846668,8.935407,"{""accuracy"": 0.3597, ""f1"": 0.3536, ""bleu"": 0.0737, ""epoch"": 7}",2026-03-10T02:46:20.719134+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep8,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",7.486209,8.877108,"{""accuracy"": 0.3553, ""f1"": 0.3521, ""bleu"": 0.0737, ""epoch"": 8}",2026-03-10T02:56:19.755485+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep9,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",7.265708,8.826447,"{""accuracy"": 0.3677, ""f1"": 0.366, ""bleu"": 0.0763, ""epoch"": 9}",2026-03-10T03:06:23.822736+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep10,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",7.07173,8.816246,"{""accuracy"": 0.3777, ""f1"": 0.3786, ""bleu"": 0.0781, ""epoch"": 10}",2026-03-10T03:16:28.822508+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep11,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",6.802598,8.808591,"{""accuracy"": 0.3737, ""f1"": 0.3765, ""bleu"": 0.0771, ""epoch"": 11}",2026-03-10T03:26:29.380225+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep12,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",6.734942,8.796171,"{""accuracy"": 0.3761, ""f1"": 0.3774, ""bleu"": 0.0781, ""epoch"": 12}",2026-03-10T03:36:28.339567+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep13,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",6.847342,8.795677,"{""accuracy"": 0.3797, ""f1"": 0.3821, ""bleu"": 0.0785, ""epoch"": 13}",2026-03-10T03:46:32.376314+00:00
d3227313-376d-423f-ab33-4e60967b1d84_ep14,BLIP,"{""model_choice"": ""blip"", ""model_name"": ""BLIP"", ""pretrained_id"": ""Salesforce/blip-vqa-base"", ""learning_rate"": 4e-05, ""batch_size"": 8, ""epochs"": 15, ""gradient_accumulation_steps"": 8, ""max_length"": 32, ""weight_decay"": 0.01, ""label_smoothing"": 0.1, ""warmup_ratio"": 0.1, ""max_grad_norm"": 1.0, ""freeze_vision_epochs"": 5, ""classifier_dropout"": 0.2, ""class_weight_cap"": 5.0, ""mixed_precision"": true, ""seed"": 42, ""checkpoint_dir"": ""/kaggle/working/outputs/checkpoints""}",6.700614,8.790563,"{""accuracy"": 0.3809, ""f1"": 0.3826, ""bleu"": 0.0788, ""epoch"": 14}",2026-03-10T03:56:36.385288+00:00
